date,metric,category,geography,unit,series_type,value
2012-07-01,Household spending,Clothing and footwear,Queensland,$ Millions,Seasonally Adjusted,465.0
2012-07-01,Household spending,Discretionary,Queensland,$ Millions,Seasonally Adjusted,5399.0
2012-07-01,Household spending,Food,Queensland,$ Millions,Seasonally Adjusted,1421.0
2012-07-01,Household spending,Furnishings and household equipment,Queensland,$ Millions,Seasonally Adjusted,660.2
2012-07-01,Household spending,Goods,Queensland,$ Millions,Seasonally Adjusted,5114.3
2012-07-01,Household spending,Health,Queensland,$ Millions,Seasonally Adjusted,911.4
2012-07-01,Household spending,"Hotels, cafes and restaurants",Queensland,$ Millions,Seasonally Adjusted,949.2
2012-07-01,Household spending,Miscellaneous goods and services,Queensland,$ Millions,Seasonally Adjusted,762.4
2012-07-01,Household spending,Non Discretionary,Queensland,$ Millions,Seasonally Adjusted,3235.1
2012-07-01,Household spending,Recreation and culture,Queensland,$ Millions,Seasonally Adjusted,1419.7
2012-07-01,Household spending,Services,Queensland,$ Millions,Seasonally Adjusted,3519.9
2012-07-01,Household spending,Total (Household Spending Categories),Queensland,$ Millions,Seasonally Adjusted,8634.2
2012-07-01,Household spending,Transport,Queensland,$ Millions,Seasonally Adjusted,1527.9
2012-07-01,Household spending,Alcoholic beverages and tobacco,South Australia,$ Millions,Seasonally Adjusted,209.4
2012-07-01,Household spending,Clothing and footwear,South Australia,$ Millions,Seasonally Adjusted,150.0
2012-07-01,Household spending,Discretionary,South Australia,$ Millions,Seasonally Adjusted,1839.8
2012-07-01,Household spending,Food,South Australia,$ Millions,Seasonally Adjusted,492.2
2012-07-01,Household spending,Furnishings and household equipment,South Australia,$ Millions,Seasonally Adjusted,206.4
2012-07-01,Household spending,Goods,South Australia,$ Millions,Seasonally Adjusted,1695.3
2012-07-01,Household spending,Health,South Australia,$ Millions,Seasonally Adjusted,278.2
2012-07-01,Household spending,"Hotels, cafes and restaurants",South Australia,$ Millions,Seasonally Adjusted,329.1
2012-07-01,Household spending,Miscellaneous goods and services,South Australia,$ Millions,Seasonally Adjusted,276.6
2012-07-01,Household spending,Non Discretionary,South Australia,$ Millions,Seasonally Adjusted,1057.8
2012-07-01,Household spending,Recreation and culture,South Australia,$ Millions,Seasonally Adjusted,490.2
2012-07-01,Household spending,Services,South Australia,$ Millions,Seasonally Adjusted,1202.3
2012-07-01,Household spending,Total (Household Spending Categories),South Australia,$ Millions,Seasonally Adjusted,2897.6
2012-07-01,Household spending,Transport,South Australia,$ Millions,Seasonally Adjusted,465.4
2012-07-01,Household spending,Alcoholic beverages and tobacco,Tasmania,$ Millions,Seasonally Adjusted,63.9
2012-07-01,Household spending,Clothing and footwear,Tasmania,$ Millions,Seasonally Adjusted,39.6
2012-07-01,Household spending,Discretionary,Tasmania,$ Millions,Seasonally Adjusted,554.1
2012-07-01,Household spending,Food,Tasmania,$ Millions,Seasonally Adjusted,133.8
2012-07-01,Household spending,Furnishings and household equipment,Tasmania,$ Millions,Seasonally Adjusted,59.7
2012-07-01,Household spending,Goods,Tasmania,$ Millions,Seasonally Adjusted,523.4
